Category,Parameter,Value,Source_File,Source_Location,Verification_Status,Notes
Training,Warmup Learning Rate,1e-3,RidgeVision_v2_Comprehensive_Master_Report.md,Table 5.1,VERIFIED,Stage 1 head warmup
Training,Fine-Tuning Learning Rate,1e-5,RidgeVision_v2_Comprehensive_Master_Report.md,Table 5.1,VERIFIED,Stage 2 backbone fine-tuning
Training,Batch Size,32,RidgeVision_v2_Comprehensive_Master_Report.md,Table 5.1,VERIFIED,Batch size
Training,Random Seed,42,notebooks/90-accuracy.ipynb,Cell 4,VERIFIED,Pinned across all notebooks
Training,Hardware,2x Tesla T4 GPUs,notebooks/90-accuracy.ipynb,Cell 2,VERIFIED,Kaggle Cloud GPU instance
Results,Ensemble Test Accuracy,0.895 (90%),notebooks/90-accuracy.ipynb,Cell 16,VERIFIED,1074/1200 on held-out test split
Results,Model 88 Test Accuracy,0.860 (86%),notebooks/90-accuracy.ipynb,Cell 16,VERIFIED,1032/1200 test samples
Results,Model 91 Test Accuracy,0.8942 (89.4%),notebooks/90-accuracy.ipynb,Cell 16,VERIFIED,1073/1200 test samples
Results,RidgeVisionNet 3-Fold Mean Acc,0.899605 (89.96%),ridgevisionnet_results/baseline_comparison_summary.json,Line 3,VERIFIED,std: 0.006440
Results,MobileNetV2 3-Fold Mean Acc,0.910742 (91.07%),ridgevisionnet_results/baseline_comparison_summary.json,Line 7,VERIFIED,std: 0.003131
Results,ResNet50 3-Fold Mean Acc,0.799382 (79.94%),ridgevisionnet_results/baseline_comparison_summary.json,Line 12,VERIFIED,std: 0.006605
Results,DenseNet121 3-Fold Mean Acc,0.886414 (88.64%),ridgevisionnet_results/baseline_comparison_summary.json,Line 17,VERIFIED,std: 0.002648
Results,InceptionV3 3-Fold Mean Acc,0.850437 (85.04%),ridgevisionnet_results/baseline_comparison_summary.json,Line 22,VERIFIED,std: 0.000746
Results,Plain EfficientNetB0 Mean Acc,0.898235 (89.82%),ridgevisionnet_results/baseline_comparison_summary.json,Line 27,VERIFIED,std: 0.008821
Results,ConvNeXt-Tiny Mean Acc,0.899091 (89.91%),ridgevisionnet_results/baseline_comparison_summary.json,Line 32,VERIFIED,std: 0.004858
Results,Plain CNN (Scratch) Mean Acc,0.822343 (82.23%),ridgevisionnet_results/baseline_comparison_summary.json,Line 37,VERIFIED,std: 0.013762
Results,SVM RBF Mean Acc,0.246528 (24.65%),ridgevisionnet_results/baseline_comparison_summary.json,Line 42,VERIFIED,std: 0.012403
Results,Random Forest Mean Acc,0.386328 (38.63%),ridgevisionnet_results/baseline_comparison_summary.json,Line 47,VERIFIED,std: 0.003067
Results,Ablation Full Test Acc,0.910959 (91.10%),ridgevisionnet_results/ablation_results.json,Line 3,VERIFIED,Full model reference
Results,Ablation No Orientation Field,0.896119 (89.61%),ridgevisionnet_results/ablation_results.json,Line 7,VERIFIED,delta: -0.014840
Results,Ablation Single Branch Ridge,0.797945 (79.79%),ridgevisionnet_results/ablation_results.json,Line 27,VERIFIED,delta: -0.113014
Results,Randomized Label Sanity Control,0.126100 (12.61%),RidgeVision_v2_Comprehensive_Master_Report.md,Table 8.2,VERIFIED,Collapses to chance (~12.5%)
Results,Temperature Parameter T,1.365,RidgeVision_v2_Comprehensive_Master_Report.md,Section 7.1,VERIFIED,Optimized on validation set
Results,Raw ECE,0.0842,RidgeVision_v2_Comprehensive_Master_Report.md,Section 7.1,VERIFIED,Uncalibrated expected calibration error
Results,Calibrated ECE,0.0412,RidgeVision_v2_Comprehensive_Master_Report.md,Section 7.1,VERIFIED,Over 51% error reduction
Results,Conformal Quantile Threshold q_hat,0.724,RidgeVision_v2_Comprehensive_Master_Report.md,Section 7.2,VERIFIED,At 1 - alpha = 0.90
